date,growth
2015-01-30,33
2015-01-31,58
2015-02-01,24
2015-02-02,25
2015-02-03,57
2015-02-04,36
2015-02-05,38
2015-02-06,27
2015-02-07,20
2015-02-08,33
2015-02-09,32
2015-02-10,25
2015-02-11,52
2015-02-12,138
2015-02-13,31
2015-02-14,41
2015-02-15,48
2015-02-16,5
2015-02-17,29
2015-02-18,25
2015-02-19,6
2015-02-20,7
2015-02-21,29
2015-02-22,23
2015-02-23,19
2015-02-24,49
2015-02-25,67
2015-02-26,28
2015-02-27,14
2015-02-28,61
2015-03-01,34
2015-03-02,25
2015-03-03,25
2015-03-04,38
2015-03-05,31
2015-03-06,17
2015-03-07,22
2015-03-07,30
2015-03-08,9
2015-03-09,9
2015-03-10,34
2015-03-11,84
2015-03-12,79
2015-03-13,38
2015-03-14,28
2015-03-15,52
2015-03-16,61
2015-03-17,16
2015-03-18,77
2015-03-19,40
2015-03-20,50
2015-03-21,27
2015-03-22,21
2015-03-23,20
2015-03-24,32
2015-03-25,34
2015-03-26,34
2015-03-27,22
2015-03-28,11
2015-03-29,9
2015-03-30,16
2015-03-31,27
2015-04-01,27
2015-04-02,47
2015-04-03,28
2015-04-04,14
2015-04-05,31
2015-04-06,13
2015-04-07,24
2015-04-08,28
2015-04-09,13
2015-04-10,137
2015-04-11,29
2015-04-12,12
2015-04-13,18
2015-04-14,20
2015-04-15,9
2015-04-16,16
2015-04-17,7
2015-04-18,21
2015-04-19,18
2015-04-20,42
2015-04-21,47
2015-04-22,24
2015-04-23,33
2015-04-24,40
2015-04-25,85
2015-04-26,33
2015-04-27,17
2015-04-28,32
2015-04-29,17
2015-04-30,18
2015-05-01,14
2015-05-02,15
2015-05-03,16
2015-05-04,29
2015-05-05,17
2015-05-06,32
2015-05-07,11
2015-05-08,11
2015-05-09,27
2015-05-10,18
2015-05-11,16
2015-05-12,104
2015-05-13,88
2015-05-14,41
2015-05-15,36
2015-05-16,21
2015-05-17,26
2015-05-18,21
2015-05-19,24
2015-05-20,29
2015-05-21,24
2015-05-22,19
2015-05-23,11
2015-05-24,14
2015-05-25,16
2015-05-26,27
2015-05-27,17
2015-05-28,15
2015-05-29,20
2015-05-30,27
2015-05-31,41
2015-06-01,35
2015-06-02,24
2015-06-03,37
2015-06-04,29
2015-06-05,17
2015-06-06,17
2015-06-07,17
2015-06-08,7
2015-06-09,24
2015-06-10,15
2015-06-11,18
2015-06-12,36
2015-06-13,24
2015-06-14,68
2015-06-15,27
2015-06-16,41
2015-06-17,38
2015-06-18,19
2015-06-19,29
2015-06-20,40
2015-06-21,55
2015-06-22,25
2015-06-23,24
2015-06-24,41
2015-06-25,71
2015-06-26,33
2015-06-27,26
2015-06-28,25
2015-06-29,36
2015-06-30,37
2015-07-01,27
2015-07-02,16
2015-07-03,6
2015-07-04,12
2015-07-05,28
2015-07-06,33
2015-07-07,32
2015-07-08,24
2015-07-09,26
2015-07-10,44
2015-07-11,64
2015-07-12,37
2015-07-13,27
2015-07-14,40
2015-07-15,42
2015-07-16,17
2015-07-17,35
2015-07-18,27
2015-07-19,27
2015-07-20,22
2015-07-21,16
2015-07-22,17
2015-07-23,19
2015-07-24,13
