date,count,total_count,ratio
"2011-05-28","15","16441","0.0009123532631835047"
"2011-05-29","11","15011","0.000732795949636933"
"2011-05-30","5","19830","0.0002521432173474534"
"2011-05-31","9","25512","0.0003527751646284102"
"2011-06-01","16","27811","0.0005753119269353852"
"2011-06-02","16","27916","0.0005731480154749964"
"2011-06-03","19","27434","0.0006925712619377415"
"2011-06-04","12","15784","0.0007602635580334517"
"2011-06-05","6","15323","0.00039156823076421065"
"2011-06-06","12","26693","0.00044955606338740496"
"2011-06-07","11","27762","0.0003962250558317124"
"2011-06-08","16","27708","0.0005774505557961599"
"2011-06-09","15","27360","0.0005482456140350877"
"2011-06-10","9","27237","0.00033043286705584316"
"2011-06-11","9","15641","0.0005754107793619333"
"2011-06-12","6","15118","0.0003968778939013097"
"2011-06-13","8","24204","0.0003305238803503553"
"2011-06-14","6","18084","0.00033178500331785003"
"2011-06-15","8","21879","0.00036564742447095386"
"2011-06-16","11","28590","0.0003847499125568381"
"2011-06-17","12","26160","0.00045871559633027525"
"2011-06-18","0","15554","0"
"2011-06-19","2","15494","0.0001290822253775655"
"2011-06-20","5","25579","0.00019547284882129873"
"2011-06-21","12","26859","0.0004467776164414163"
"2011-06-22","30","28095","0.0010678056593699946"
"2011-06-23","4","27185","0.00014713996689350744"
"2011-06-24","10","26210","0.00038153376573826786"
"2011-06-25","21","15601","0.0013460675597718095"
"2011-06-26","10","15137","0.0006606328863050803"
"2011-06-27","12","25820","0.00046475600309837337"
"2011-06-28","24","26199","0.0009160654986831558"
"2011-06-29","19","26748","0.0007103334828772245"
"2011-06-30","13","27099","0.0004797224989852024"
"2011-07-01","15","26282","0.0005707328209420896"
"2011-07-02","32","14735","0.002171700033932813"
"2011-07-03","10","14242","0.0007021485746383935"
"2011-07-04","12","18996","0.0006317119393556538"
"2011-07-05","16","24034","0.000665723558292419"
"2011-07-06","12","26046","0.00046072333563695"
"2011-07-07","17","25789","0.0006591957811470006"
"2011-07-08","10","25282","0.0003955383276639506"
"2011-07-09","5","14980","0.0003337783711615487"
"2011-07-10","14","14397","0.0009724248107244565"
"2011-07-11","10","24965","0.0004005607850991388"
"2011-07-12","15","25843","0.0005804279688890609"
"2011-07-13","10","26573","0.00037632183042938324"
"2011-07-14","16","26850","0.000595903165735568"
"2011-07-15","8","25672","0.0003116235587410408"
"2011-07-16","4","14645","0.00027313076135199724"
"2011-07-17","1","12093","8.269246671628214e-05"
"2011-07-18","7","20760","0.0003371868978805395"
"2011-07-19","7","26743","0.0002617507385110122"
"2011-07-20","23","26629","0.0008637200045063652"
"2011-07-21","9","25878","0.00034778576396939483"
"2011-07-22","7","24881","0.0002813391744704795"
"2011-07-23","13","14974","0.0008681714972619207"
"2011-07-24","15","14386","0.0010426803837063812"
"2011-07-25","29","22113","0.0013114457558902003"
"2011-07-26","11","24477","0.00044940147893941253"
"2011-07-27","29","23555","0.0012311611122903842"
"2011-07-28","9","23881","0.00037686864034169426"
"2011-07-29","7","25444","0.00027511397578997015"
"2011-07-30","0","14532","0"
"2011-07-31","4","14345","0.0002788428023701638"
