Country Name;2011;2012;2013;2014;2015;2016;2017;
Egypt, Arab Rep.;2791.95496186249;3232.64889178794;3264.37878715277;3378.83135785555;3598.9709482021;3525.02016450058;2440.51017311107;
Euro area;40613.8742750705;37598.0422605764;39102.9130889748;39857.2917635599;34381.5547912416;35142.3154719071;37095.1202703313;
Eritrea;642.507659063694;;;;;;;
Spain;31636.4463142558;28324.4293363918;29059.5479522321;29461.5503337389;25732.0183647454;26505.3432155204;28170.4345659807;
Estonia;17621.5474392795;17534.4215441923;19174.100729108;20367.1026566799;17522.230186252;18237.2958432683;20388.2095530338;
Ethiopia;354.479575841347;467.077927241718;499.531572059907;566.926466461984;640.541891313682;717.124592933285;768.522307579386;
European Union;35716.273662884;33158.7914088519;34564.1125052742;35243.2073712896;30473.7402563699;31162.6963930937;33029.9879503522;
Fragile and conflict affected situations;2186.9711548558;2457.00032221668;2523.04276278452;2710.81219285541;2341.68650863862;2049.27473030114;2030.05691862279;
Finland;51081.9976703127;47710.7902169415;49878.0432444536;50260.2998588958;42784.6983616432;43784.2839622098;46316.7454588326;
Fiji;4371.45751012411;4591.55578402956;4840.69371615802;5605.57033080847;5390.74523711745;5651.31806630066;6101.03084255946;
France;43790.7320482019;40874.7035053457;42592.9340943342;43011.2631028417;36638.184929157;37037.3741861219;38812.1610341682;
Faroe Islands;52083.8891448364;49459.7172338372;54853.6255967876;59440.0307606004;52404.6593331379;55822.9147203438;58622.840815806;
Micronesia, Fed. Sts.;3009.19864668922;3131.38671463839;2994.67930442007;2971.45729017367;2906.37678497635;3014.70035839042;3289.70114571277;
Gabon;10809.6464505909;9813.4777028244;9683.57629028674;9663.42923977641;7384.71587003183;6984.45101873395;7230.39639268426;
United Kingdom;42038.572250193;42462.771568145;43444.533001954;47425.6076805194;44974.8318771782;41064.1334316223;40361.4173832159;
Georgia;4021.74330617286;4421.81824228013;4623.74572473419;4739.18833846421;4014.18594419329;4062.16988757379;4357.00093554628;
Ghana;1549.46290192946;1587.56123719997;2345.39290574885;1971.03334675411;1743.8509964087;1931.38947036943;2025.93242386751;
Guinea;651.135363533047;717.050737885584;769.003943268326;787.23807021997;769.256013746016;732.96657072192;856.565269750468;
Gambia, The;762.761054131159;742.781137796627;700.514971960668;607.428404115004;649.510829417793;683.997653898689;676.655924552125;
Guinea-Bissau;702.742880436386;616.411686249548;634.48244599306;622.481716725217;603.158512942404;661.007654906181;736.725566231783;
Equatorial Guinea;21641.8705192127;21711.1532298542;20390.7193153023;19394.0299929972;11283.46560612;9250.33195308226;9667.91225173046;
Greece;25916.2935289351;22242.681934771;21874.8195041667;21760.9797994918;18167.7737169162;18116.4596223336;18930.2185856433;
Grenada;7291.05889664338;7444.5047675973;7789.77638079977;8369.88675513221;9096.87064595412;9628.34748662013;10152.8328118872;
Greenland;47186.9814680048;45936.7659516989;47535.5899453685;50484.9275739023;44536.4013080999;48181.874188064;50321.3687543442;
Guatemala;3281.66750176033;3408.78491640236;3522.77369775434;3779.64232768084;3994.63691288475;4173.30166619474;4451.45098990197;
Guam;30859.4043533803;32494.5623640591;33265.3811866066;34394.0974809957;35278.9259389693;35562.8379083283;35615.8046274371;
Guyana;3425.43644063562;3788.14674878178;3934.86526171904;4031.60066245674;4166.12851559884;4542.62206666493;4586.05457171312;
High income;41536.1827076963;41343.838833113;41628.4805545483;42293.5445119279;39730.9195530976;40332.2633871007;41971.2373450864;
Hong Kong SAR, China;35142.4879344543;36730.8767001128;38403.7777145477;40315.2855640552;42431.8882817277;43731.1068245299;46165.8565115953;
Honduras;2088.31530028695;2144.3426111782;2102.59316626494;2206.05193412773;2302.20137936204;2342.58465119568;2453.72789597457;
Heavily indebted poor countries (HIPC);840.10374686218;862.617916300708;937.580760789698;962.929220466643;927.484595463214;897.493255355095;929.410711342351;
Croatia;14566.6384689953;13238.1019332831;13642.1936643621;13600.194390748;11782.8990799829;12360.4838164919;13412.3382902297;
Haiti;744.217426799623;769.749380959249;815.820015229786;831.873948899917;815.728284410317;735.301770321704;765.727294324274;
Hungary;14150.9667263678;12918.2475205388;13687.246101281;14246.109801447;12651.5683423004;12992.375667515;14457.608763614;
IBRD only;5287.11310838397;5566.7959815895;5823.53208302828;5965.91314534739;5581.20551384289;5571.60102665915;6091.70977670783;
IDA & IBRD total;4311.53819013222;4528.97227389441;4736.5284972461;4851.42461790789;4537.97692824524;4503.14517758389;4885.47424281036;
IDA total;1190.50701289103;1250.49823115765;1347.43393016658;1422.52551535685;1370.73525008276;1299.26767391327;1312.72588848293;
IDA blend;1730.32671096307;1859.43827902544;1977.51020180061;2105.04177801938;1957.86344151847;1771.73912815028;1714.46986572736;
Indonesia;3643.04393616102;3694.34894603237;3623.91158235134;3491.62479085767;3331.69512758628;3562.84575641971;3837.65173121117;
IDA only;911.416818978464;933.773107165521;1019.86624976663;1066.54824046642;1066.1569440534;1057.25582367529;1110.35579689092;
Isle of Man;77351.9588821432;76104.681367227;80431.6727965138;88974.2286497928;81606.2800333934;79155.541672096;80989.1722114502;
India;1458.10352686177;1443.87952939042;1449.6059123387;1573.88149211052;1605.60543355488;1732.56426178428;1981.6510498992;
Ireland;51848.9097301621;48917.8975571766;51590.1884453629;55492.982676213;61995.4227789928;63197.0823744196;69822.3471789095;
Iran, Islamic Rep.;7781.40611374433;7927.84690171722;6018.32447332471;5585.52675758303;4904.32687747976;5253.42484259991;5520.31078932382;
Iraq;6045.49555071698;6836.0273134631;7076.55460775667;6818.8046210291;4989.80307473071;4776.72649939331;5205.28825481998;
Iceland;47516.8746858993;45910.0205549899;49522.2365873909;54241.9346550193;52564.4291863302;61466.8039666276;71310.9392535086;
Israel;33669.2464692884;32511.2378524925;36309.4688256886;37678.8897743182;35776.7951710172;37321.6240366845;40541.8620907084;
Italy;38599.0622070322;35053.5262442572;35549.9746972954;35518.4152916749;30230.2263021296;30939.7142462298;32406.7203150134;
Jamaica;5111.471413428;5209.85193130013;4989.17139091154;4833.79031821405;4907.50371974316;4843.33847410864;5069.18383810726;
Jordan;3816.27925808967;3877.33934463778;3998.02747275799;4072.76547535039;4105.44896083238;4103.73359991068;4162.82068657256;
Japan;48167.9972684965;48603.4766497749;40454.4474578903;38109.4121125573;34524.4698609337;38761.8181501925;38386.5111457057;
Kazakhstan;11634.0019047654;12386.7000029472;13890.6317716835;12807.2606866152;10510.7718884148;7714.84184376024;9247.58133129626;
Kenya;971.63332904823;1136.87140571776;1210.38801408195;1315.80453537238;1336.88334885603;1410.52756809011;1572.33549593781;
Kyrgyz Republic;1123.8831680627;1177.97473487848;1282.43716202467;1279.76978265986;1121.08283510739;1120.66651300848;1242.76964282023;
Cambodia;882.275492640073;950.880345993697;1013.4204006154;1093.49619050796;1162.90491997151;1269.59125737542;1385.2599796333;
Kiribati;1735.01835782836;1788.50542068887;1715.76533141614;1642.76259749601;1542.5752495838;1584.80744578963;1640.50010436018;
St. Kitts and Nevis;16538.1714353341;16044.7054788266;16684.9530184254;18052.0359647472;18029.3255386512;18811.8733745852;19155.2894041125;
Korea, Rep.;25096.2638838239;25466.7605170594;27182.7343101935;29249.5752209742;28732.2310762599;29288.8704389833;31616.8434004683;
Kuwait;48631.691300679;51979.1051680637;49388.1374119381;44062.3170375209;29869.5293908248;27653.0667677649;29759.4364865575;
Latin America & Caribbean (excluding high income);9870.70609637354;9825.14345387872;9936.31676664428;10062.2692262246;8461.07739077446;8142.77002403826;8990.52450414889;
Lao PDR;1378.36136494331;1581.39540349425;1825.66511330676;1998.33521471699;2134.71179567796;2308.80048220079;2423.8462031921;
Lebanon;7674.83535037848;7950.69537825963;7931.08047584526;7686.25602996455;7644.54865718211;7629.89111711952;7801.17865807555;
Liberia;596.897081053795;657.936256349955;721.930055405248;721.182794835652;710.383857717515;714.623392230031;698.70176435511;
Libya;5554.1791642315;13025.2813934413;10363.7894894551;6466.91027014384;4337.91913919348;4035.1943155047;5756.69844996569;
St. Lucia;8983.4366734688;9086.79946207544;9378.56236298604;9843.91581872176;10093.8997626748;10361.8141037985;11047.4449858109;
Latin America & Caribbean;10193.8572444798;10186.9594620423;10326.1343581426;10417.3537399993;8870.63068044006;8577.35872648418;9432.97118520624;
Least developed countries: UN classification;903.509771997155;935.481980910771;997.209315594878;1053.02861549846;1014.38037293746;978.741307534202;1041.22827629761;
Low income;773.242181221052;790.496390692704;845.740512419538;883.969991856531;860.568620585368;774.507273531087;779.608317856324;
Liechtenstein;158156.599825792;149010.224898665;173058.317372602;178845.631017897;167290.939983907;165629.190482925;173356.051288416;
Sri Lanka;3200.83382914016;3350.52187589289;3610.28936304898;3819.25352972265;3843.78067184442;3886.29150165239;4077.04372120747;
Lower middle income;1709.88416598629;1775.62425488896;1843.33214328832;1935.2398738515;1886.7258935167;1920.04768626716;2034.89358089237;
Low & middle income;4167.71089578689;4393.63288988887;4593.90058862244;4709.48356996713;4415.52291117125;4380.32809255942;4749.35641598002;
Lesotho;1308.69006593273;1253.69620212555;1193.71325665948;1223.33303163915;1152.13982724874;1043.56979182005;1150.07917252047;
Late-demographic dividend;7502.03059794594;7978.58535550333;8548.15962878764;8818.86979587623;8218.38497234967;8187.21315976328;9031.340768891;
Lithuania;14354.1883792953;14339.2878672896;15702.143059565;16548.4064052386;14249.1149666026;14999.4796391329;16882.6394711995;
Luxembourg;115761.507705096;106749.013622989;113625.13289956;118823.648368575;101376.496574339;104278.390971905;107627.151006695;
Latvia;13832.3911780536;13850.6428153434;15041.1744584981;15740.3267490719;13698.9379476476;14153.4149226916;15586.58189392;
Macao SAR, China;66644.3853449773;76291.8474900231;89287.4540184115;93777.1067959425;75340.9869811152;74061.0860345658;81516.6749248075;
Morocco;3046.94913644957;2912.65827494029;3121.68117550498;3171.69919227376;2875.25798516781;2896.72000268117;3036.32525487301;
Monaco;169020.88783177;157515.899069445;177664.115616089;189422.21876884;166011.50913116;170028.655717864;167517.059727856;
Moldova;2942.25594861529;3045.73987422417;3322.0384362615;3328.80144892125;2732.45711293733;2880.43928129296;3509.69345025814;
Madagascar;531.265571840383;518.15295430212;541.066199955123;530.861345678745;467.235399432808;475.955417183065;515.29272487784;
Maldives;7291.42764039704;7265.61365556669;7928.45736514824;8499.36576172668;9033.3904129872;9209.28862477108;9540.63434888323;
Middle East & North Africa;8324.98447325251;8894.86157872712;8652.3475823771;8537.2588240188;7371.99833537827;7265.22114570915;7411.42312942984;
Mexico;10203.4208543113;10241.7279153745;10725.1833166036;10922.3760488647;9605.95235103139;8739.75604280929;9278.41816833763;
Marshall Islands;3083.83187985353;3224.33838179029;3296.69816291405;3230.02326028787;3213.83728825363;3473.77500649519;3666.69537359193;
Middle income;4517.71460820642;4770.00524510208;4991.39048128663;5121.33079419836;4804.48157801524;4778.76282254341;5193.16390044498;
North Macedonia;5063.78698606358;4698.14129350594;5210.67583028154;5468.48086914212;4840.27312286783;5129.15896023703;5430.87421029797;
Mali;837.603440597371;778.619285773713;805.032838043922;848.302757966684;751.478668644525;780.387870004561;830.557408816505;
Malta;22858.5860907173;21916.4115923962;23837.279991256;26008.8277215807;24002.5232912389;25133.0456471795;27239.0701049375;
Myanmar;1176.24245336109;1165.79432896131;1162.33144011893;1251.82076450814;1287.43048657119;1266.54633814868;1291.54241301307;
Middle East & North Africa (excluding high income);4621.78958804168;5011.26830580966;4605.55067242475;4466.55648527284;3944.3492513893;3928.79258761764;3793.93201839617;
Montenegro;7318.74469026724;6586.7212793222;7189.29328653737;7388.14779373126;6517.16375162528;7033.60489868635;7803.41113682269;
Mongolia;3757.5586328813;4351.8869200565;4366.07590145025;4158.52571473091;3918.57917389554;3660.15074616061;3669.4175403988;
Northern Mariana Islands;13571.0582833444;13827.7696967465;14274.2406542056;15278.9078745141;16690.5700968089;22246.7430768136;28305.222587603;
Mozambique;594.586466669704;657.645337819668;664.078211827767;673.969955508106;589.859028149831;428.926487995524;461.415094120589;
Mauritania;1879.77142715638;1815.21942921145;1892.09548717758;1677.10816613189;1524.07288252212;1536.85414964338;1578.11417355949;
Mauritius;9197.02697152061;9291.22761861899;9637.00265000958;10153.9382184867;9260.44730250635;9681.61856689674;10484.9083620411;
Malawi;534.951264721663;391.561832360636;348.430269640572;371.269749625713;380.597033140938;315.777326372575;356.717573153369;
Malaysia;10399.372753345;10817.4428742856;10970.1232849014;11319.0797572756;9955.24212653611;9817.74086096214;10254.2340242588;
North America;50111.9822964196;51723.2256622493;53077.2420776928;54637.8325905317;55502.6914987937;56364.855162767;58467.9738138988;
Namibia;5723.32549028316;5942.27378751117;5377.72732693011;5435.17191125163;4869.37840629792;4523.09126977999;5303.30913333229;
Niger;508.396568098584;526.35096555995;548.892954823143;562.121844645643;483.339282202639;494.718713458115;516.888247180949;
Nigeria;2520.40416579378;2746.99178858383;2998.07284264118;3222.69353725587;2730.4303237015;2175.99967021858;1968.55958830544;
Nicaragua;1655.80182373144;1760.45438654986;1811.63919333528;1934.06950834664;2049.84968976149;2107.56717992428;2159.16307935984;
Netherlands;54159.3466126142;50073.0056559308;52184.0618504931;52830.1742328055;45175.2318933798;46007.8529206547;48675.2223350213;
Norway;100600.562407589;101524.141851985;102913.450843674;97019.1827527462;74355.5158575643;70459.1825041029;75496.7540581998;
Nepal;699.429337677581;698.466479416086;715.923743046061;743.413381296219;792.552890593381;777.147595512165;911.444266521258;
Nauru;6568.10258231227;9429.63337725871;9101.91698033437;8829.35671886048;6956.25380055393;7670.11640425255;8510.86840824456;
New Zealand;38437.543157275;39982.7543013783;42962.9882149803;44553.2822108385;38615.9951849093;40105.6133867135;42849.426324701;
OECD members;37434.5200220514;37184.8134999025;37447.5045647114;37980.4861126146;35605.2391932836;36030.9131925758;37370.0489908713;
Oman;20921.1459820841;21902.5813563661;20926.5540495711;20131.9167222582;16028.7513645532;14618.8753761098;15130.9437443942;
Other small states;14891.4121127329;15211.5769773084;15541.8964812381;15741.3397887968;12793.9310514073;12385.063691733;13404.4097361322;
Pakistan;1164.97612914872;1198.10900052752;1208.90431029644;1251.16410422834;1356.66775582649;1368.45432627629;1464.99330546855;
Panama;9358.25147451101;10722.2836326295;11889.1276274385;12796.0700430496;13630.3079737945;14343.9636291397;15150.345612161;
Peru;5869.32307961474;6528.97221785312;6756.75276926556;6672.8802554854;6229.10169612596;6204.99726003927;6710.50802896038;
Philippines;2450.73365615789;2694.30547297894;2871.43090178415;2959.64845212051;3001.04037106857;3073.65361496958;3123.23422944951;
Palau;10884.4125105664;11967.3072562358;12688.1972054981;13794.7917848633;15871.8426266629;16932.3328631876;16078.2681940701;
Papua New Guinea;2406.90967879579;2790.67666914736;2729.89190578265;2920.78372080202;2679.34558781427;2509.6314572831;2695.2518833116;
Poland;13893.509259001;13145.5392627865;13781.0626053813;14347.9145754456;12572.4266045561;12431.8158916231;13861.3093648235;
Pre-demographic dividend;1575.22106561097;1678.43249469713;1791.26548997004;1856.52600548538;1589.45339244249;1398.96941473081;1414.80084279035;
Puerto Rico;27278.8830499205;27944.7338937424;28513.1657351067;28981.4573305866;29763.4883013861;30627.1634017011;31108.7527508912;
Portugal;23186.9131283278;20564.8898617969;21647.0418118869;22074.3007634216;19242.3664710981;19978.401214968;21490.429863104;
Paraguay;5322.96375987671;5183.08287691315;5926.83286284344;6102.94323272326;5406.70385708338;5319.41021789703;5680.58076826353;
West Bank and Gaza;2695.19385339015;2834.02152463393;3060.3123893102;3046.82179844817;2967.85174651975;3074.29115236515;3254.48588658763;
Pacific island small states;3401.31860974582;3568.80296036922;3654.82660315204;3919.67305283497;3776.19942145241;3899.58062674065;4132.18527007284;
Post-demographic dividend;42364.2257585388;42149.3538180757;42388.8578810151;43064.3204187252;40584.2609627683;41289.5814414088;42879.591169801;
Qatar;82409.5803345471;85076.1479273998;85050.9109716822;83858.5283798723;63039.0165548075;57163.0609918357;61264.3964777979;
Romania;9104.99562203019;8535.0468756267;9555.2442173314;10026.9735781794;8977.43738227167;9567.12934484744;10807.7953907179;
Russian Federation;14311.0843159612;15420.8745413273;15974.6446270517;14095.648742954;9313.01362484996;8704.89841329594;10720.3325853448;
Rwanda;671.509939994776;728.697297125371;726.180156859823;747.000511564279;754.906789007641;748.504418148739;772.318471775428;
South Asia;1367.31313793749;1364.41640319999;1381.85662659774;1494.42076537038;1541.80368581438;1651.08946256258;1866.88606656608;
Saudi Arabia;23745.8016143404;25243.3586984024;24844.7443709487;24463.9031638501;20627.9327820675;19879.2975304177;20803.7425657324;
Sudan;1437.7732945888;1457.89458202637;1557.22831003842;1709.99960541964;1909.73875450207;1299.26119456743;1111.86844893858;
Senegal;1373.52078902067;1329.98137880303;1376.06981577192;1396.65822533925;1219.24866243037;1269.90210810516;1361.69958778497;
Singapore;53890.4287270504;55546.4885386921;56967.4257940383;57562.5307937678;55646.6187469505;56828.2953471601;60913.745333494;
Solomon Islands;1722.41812107591;1913.23201256373;1977.45140452319;1996.78118438995;1914.46792975705;1986.41623627442;2059.04542370076;
Sierra Leone;448.337525527861;566.378656937493;716.835304734774;714.700712388696;588.228452702849;501.415712857832;499.38070781976;
El Salvador;3266.04587535311;3428.38473639383;3509.53149262616;3589.04219262897;3705.57794598177;3805.99366628473;3910.25719295906;
San Marino;57286.6550002958;49985.349570181;51572.5681707239;50806.5343783866;42650.3172583365;43842.3855205602;45394.2010273704;
Somalia;;;;;;;;
Serbia;6809.15980400146;6015.94522756969;6755.07351070594;6600.0566499116;5585.1178082606;5756.38119351044;6284.19280376523;
Sub-Saharan Africa (excluding high income);1733.95578110555;1770.1596372002;1838.05574353651;1873.49181691514;1662.58802761865;1492.85111898339;1548.8015400679;
South Sudan;1516.40391483427;1179.73982772896;1779.4693342398;1322.8202385055;1119.65133267823;;;
Sub-Saharan Africa;1745.44305673761;1781.43313604747;1849.69360950361;1885.47256318323;1673.44929052822;1504.23840871572;1560.8873467415;
Small states;13171.1359583868;13484.6668560084;13774.4921831261;13965.96172728;11707.5184818596;11311.7329004564;12135.8377896016;
Sao Tome and Principe;1263.86802227704;1340.52770210677;1577.01827831712;1782.79805936252;1595.86463222251;1710.13089783903;1811.0128258881;
Suriname;8263.17292305383;9201.00878530056;9402.23313695562;9472.00759951427;8561.97417855142;5539.06887190094;5626.79581590317;
Slovak Republic;18338.3622288437;17460.0468093549;18236.9807888867;18670.9301711227;16309.073235592;16505.9750465561;17554.3083210444;
Slovenia;25095.1326282071;22643.1002515007;23496.6023059673;24214.9220717273;20881.7667686947;21622.580683576;23500.7522308704;
Sweden;60755.7595508465;58037.8213192173;61126.9431963979;60020.3604576572;51545.4836095322;51965.1571531985;53791.5087298403;
Eswatini;4496.60037883323;4527.66898764161;4230.3440556779;4038.55722839918;3689.51870561216;3447.695698505;3953.08896824132;
Sint Maarten (Dutch part);;;;;;;;
Seychelles;12189.0951601357;12006.68296237;14765.6739800428;14700.3343006837;14745.3414415607;15068.620324642;15906.0839204787;
Syrian Arab Republic;;;;;;;;
Turks and Caicos Islands;21835.0831410852;21009.8858098984;21328.9790101062;23296.3369051995;24832.5963703066;25995.1724609535;25933.6074363465;
Chad;984.735891490329;967.352797482929;979.812409638156;1020.28820350586;776.019532308037;693.449386475774;665.94835269506;
East Asia & Pacific (IDA & IBRD countries);4910.47877499328;5436.16037805804;5954.10667877778;6373.23857685174;6591.70467144063;6682.04869854955;7248.93113112798;
Europe & Central Asia (IDA & IBRD countries);10004.5981939929;10396.818359533;10964.1524092472;10314.4807744761;7997.06760260123;7651.57831332526;8538.35694285658;
Togo;587.097136792467;571.806723944167;621.398853574683;640.934219628827;570.910279013434;597.471088804109;626.09152789111;
Thailand;5492.12125590558;5860.58250725599;6168.26298501219;5951.88370233604;5840.04652294326;5994.23147547156;6592.91490169864;
